"day","flights_count"
"2025-02-20","11664"
"2025-02-21","28358"
"2025-02-22","22895"
"2025-02-23","24235"
"2025-02-24","21016"
"2025-02-25","20592"
"2025-02-26","24526"
"2025-02-27","22898"
"2025-02-28","7489"
"2025-03-06","22117"
"2025-03-07","15826"
"2025-03-10","20335"
"2025-03-11","10979"
"2025-03-12","11485"
"2025-03-14","9682"
"2025-03-15","12407"
"2025-03-16","11749"
"2025-03-17","2929"
"2025-03-19","11253"
"2025-03-20","12286"
"2025-03-21","21905"
"2025-03-22","22805"
"2025-03-23","22913"
"2025-03-24","22848"
"2025-03-25","21512"
"2025-03-26","21546"
"2025-03-27","15474"
"2025-03-28","16152"
"2025-03-29","26214"
"2025-03-30","12107"
"2025-03-31","17869"
"2025-04-01","15994"
"2025-04-02","16042"
"2025-04-03","19454"
"2025-04-04","12191"
"2025-04-05","9172"
"2025-04-06","6140"
