fix,price,price_per_minute,cars_around
915.0,409.0,12.36,7
1255.0,768.56,17.85,7
1222.0,724.22,16.01,7
927.0,444.14,13.92,7
733.0,581.36,12.99,7
973.0,654.16,17.43,7
785.0,487.76,14.63,7
912.0,478.38,14.08,7
1002.0,492.45,14.9,7
878.0,570.18,14.67,7
667.0,417.18,13.04,22
753.0,575.77,14.96,22
649.0,553.41,12.02,22
896.0,692.58,17.44,22
636.0,417.18,12.37,22
720.0,493.37,14.36,22
795.0,627.27,15.95,22
729.0,483.07,14.49,22
781.0,565.47,15.48,22
649.0,547.82,11.78,22
845.0,429.45,13.1,5
978.0,586.95,15.52,5
779.0,564.59,14.53,5
670.0,564.59,12.5,5
948.0,614.9,16.93,5
780.0,564.59,14.53,5
890.0,635.29,16.46,5
1099.0,598.13,18.04,5
837.0,483.07,13.2,5
702.0,406.98,13.17,5
764.0,487.76,14.76,18
1177.0,799.76,21.71,18
741.0,539.76,14.32,18
757.0,487.76,14.9,18
764.0,469.0,13.81,18
784.0,559.0,14.25,18
757.0,464.31,13.4,18
784.0,559.0,13.97,18
662.0,409.0,11.79,18
1106.0,767.04,18.64,18
891.0,544.95,14.59,15
938.0,534.45,16.01,15
820.0,404.91,12.54,15
884.0,464.31,13.26,15
881.0,492.45,15.04,15
782.0,570.18,12.63,15
963.0,570.18,14.67,15
1128.0,692.58,17.61,15
918.0,498.78,14.76,15
923.0,478.38,14.35,15
1073.0,817.09,17.17,15
1090.0,692.58,17.44,15
891.0,478.38,14.35,15
869.0,533.01,15.14,15
881.0,483.79,13.82,15
1035.0,672.18,17.04,15
831.0,423.19,12.18,15
897.0,473.69,13.94,15
956.0,483.79,13.82,15
969.0,473.69,13.94,15
1182.0,783.34,18.85,14
1003.0,554.49,14.16,14
995.0,492.45,14.9,14
979.0,478.38,14.22,14
1010.0,575.77,14.96,14
1110.0,497.14,15.45,14
1123.0,575.77,16.63,14
860.0,575.77,12.75,14
852.0,539.76,14.32,14
947.0,654.16,16.08,14
788.0,564.59,14.39,13
727.0,524.19,13.01,13
785.0,564.59,14.39,13
813.0,519.18,15.13,13
666.0,559.0,12.26,13
761.0,469.0,13.81,13
756.0,473.69,13.37,13
784.0,554.49,14.3,13
788.0,488.58,14.65,13
782.0,564.59,14.39,13
1101.0,783.34,18.85,14
981.0,554.49,14.16,14
958.0,492.45,14.9,14
967.0,478.38,14.22,14
1001.0,575.77,14.96,14
737.0,497.14,15.45,14
1109.0,575.77,16.63,14
855.0,575.77,12.75,14
727.0,539.76,14.32,14
810.0,654.16,16.08,14
655.0,529.38,13.92,15
692.0,519.18,15.28,15
609.0,409.0,12.8,15
662.0,478.38,14.08,15
649.0,492.45,15.04,15
576.0,570.18,12.63,15
736.0,570.18,14.67,15
863.0,692.58,17.61,15
672.0,498.78,14.76,15
677.0,478.38,14.35,15
772.0,529.38,13.92,15
827.0,519.18,15.28,15
726.0,409.0,12.8,15
784.0,478.38,14.08,15
774.0,492.45,15.04,15
687.0,570.18,12.63,15
844.0,570.18,14.67,15
938.0,692.58,17.61,15
812.0,498.78,14.76,15
793.0,478.38,14.35,15
937.0,564.59,14.39,13
849.0,524.19,13.01,13
945.0,564.59,14.39,13
975.0,519.18,15.13,13
792.0,559.0,12.26,13
919.0,469.0,13.81,13
855.0,473.69,13.37,13
947.0,554.49,14.3,13
948.0,488.58,14.65,13
949.0,564.59,14.39,13
939.0,564.59,14.39,13
851.0,524.19,13.01,13
942.0,564.59,14.39,13
955.0,519.18,15.13,13
768.0,559.0,12.26,13
919.0,469.0,13.81,13
822.0,473.69,13.37,13
956.0,554.49,14.3,13
930.0,488.58,14.65,13
940.0,564.59,14.39,13
903.0,817.09,17.17,15
901.0,692.58,17.44,15
737.0,478.38,14.35,15
697.0,533.01,15.14,15
730.0,483.79,13.82,15
882.0,672.18,17.04,15
704.0,423.19,12.18,15
735.0,473.69,13.94,15
736.0,483.79,13.82,15
742.0,473.69,13.94,15
739.0,817.09,17.17,15
757.0,692.58,17.44,15
621.0,478.38,14.35,15
605.0,533.01,15.14,15
572.0,483.79,13.82,15
695.0,672.18,17.04,15
569.0,423.19,12.18,15
633.0,473.69,13.94,15
633.0,483.79,13.82,15
647.0,473.69,13.94,15
1248.0,783.34,18.85,12
1025.0,492.45,14.9,12
1034.0,478.38,14.22,12
1061.0,575.77,14.96,12
919.0,497.14,15.45,12
1178.0,575.77,16.63,12
912.0,575.77,12.75,12
878.0,539.76,14.32,12
988.0,654.16,16.08,12
1131.0,679.0,16.6,12
852.0,487.76,14.76,5
703.0,575.77,14.96,5
599.0,564.59,14.25,5
514.0,559.0,12.26,5
907.0,614.9,16.93,5
629.0,559.0,14.25,5
718.0,647.87,17.11,5
800.0,586.95,17.26,5
807.0,497.14,13.82,5
580.0,399.0,12.79,5
687.0,559.0,12.02,18
1132.0,726.96,21.64,18
803.0,559.0,13.97,18
823.0,489.0,14.05,18
624.0,419.0,11.92,18
894.0,564.59,16.0,18
722.0,409.0,12.3,18
953.0,746.39,17.01,18
819.0,549.0,13.88,18
800.0,487.76,14.63,18
549.0,559.0,12.02,18
888.0,726.96,21.64,18
683.0,559.0,13.97,18
717.0,489.0,14.05,18
487.0,419.0,11.92,18
762.0,564.59,16.0,18
623.0,409.0,12.3,18
794.0,746.39,17.01,18
717.0,549.0,13.88,18
686.0,487.76,14.63,18
843.0,487.76,14.63,17
1171.0,799.76,21.31,17
828.0,539.76,14.19,17
811.0,497.14,15.31,17
853.0,478.38,14.22,17
861.0,570.18,14.67,17
812.0,473.69,13.81,17
865.0,559.0,13.97,17
727.0,413.09,12.03,17
1153.0,806.99,20.24,17
638.0,413.09,12.6,7
925.0,746.39,17.01,7
829.0,739.0,16.85,7
625.0,435.76,13.54,7
463.0,575.77,12.75,7
616.0,647.87,16.95,7
589.0,483.07,14.35,7
587.0,478.38,14.08,7
644.0,478.38,14.22,7
543.0,575.77,14.82,7
664.0,559.0,12.02,19
1088.0,726.96,21.64,19
785.0,559.0,13.97,19
805.0,489.0,14.05,19
596.0,419.0,11.92,19
880.0,564.59,16.0,19
706.0,409.0,12.3,19
937.0,746.39,17.01,19
802.0,549.0,13.88,19
801.0,487.76,14.63,19
1056.0,575.77,14.96,11
930.0,413.09,12.73,11
1256.0,761.17,17.68,11
1024.0,483.07,14.49,11
1258.0,761.17,17.68,11
954.0,431.57,13.29,11
826.0,483.07,14.35,11
717.0,575.77,12.75,11
908.0,469.0,13.53,11
982.0,581.94,15.7,11
892.0,554.49,14.89,21
831.0,483.07,14.49,21
742.0,581.36,13.11,21
1024.0,706.16,18.11,21
720.0,425.36,12.96,21
857.0,498.16,15.22,21
867.0,518.34,15.75,21
752.0,492.45,13.7,21
828.0,487.76,14.9,21
885.0,576.45,16.06,21
1090.0,666.74,17.92,10
895.0,529.38,13.66,10
865.0,534.57,13.52,10
791.0,513.97,12.37,10
769.0,570.18,12.5,10
1131.0,768.56,18.01,10
753.0,575.77,14.96,10
800.0,493.89,12.89,10
840.0,570.18,16.32,10
