"day","name","avg_price"
"2025-04-05","Джинсы широкие на высокий рост","698119.277108433735"
"2025-04-05","Джинсы широкие палаццо клеш","595164.130434782609"
"2025-04-05","Джинсы широкие с высокой посадкой","430807.692307692308"
"2025-04-05","Джинсы широкие багги клеш","374345.263157894737"
"2025-04-05","Футболка оверсайз с принтом","120106.315789473684"
"2025-04-05","Футболка оверсайз","71834.736842105263"
"2025-04-05","Кислородный отбеливатель, пятновыводитель, очиститель","44149.137931034483"
"2025-04-05","Кислородный отбеливатель, пятновыводитель","41613.750000000000"
"2025-04-05","Кислородный отбеливатель пятновыводитель очиститель","35515.000000000000"
"2025-04-05","Кислородный отбеливатель пятновыводитель универсальный","34054.135338345865"
"2025-04-11","Джинсы широкие на высокий рост","679917.857142857143"
"2025-04-11","Джинсы широкие палаццо клеш","589769.565217391304"
"2025-04-11","Джинсы широкие с высокой посадкой","374210.309278350515"
"2025-04-11","Джинсы широкие багги клеш","317716.455696202532"
"2025-04-11","Футболка оверсайз с принтом","120708.433734939759"
"2025-04-11","Футболка оверсайз","58520.224719101124"
"2025-04-11","Кислородный отбеливатель, пятновыводитель, очиститель","42872.549019607843"
"2025-04-11","Кислородный отбеливатель, пятновыводитель","41495.121951219512"
"2025-04-11","Кислородный отбеливатель пятновыводитель очиститель","36975.675675675676"
"2025-04-11","Кислородный отбеливатель пятновыводитель универсальный","31876.470588235294"
"2025-04-13","Джинсы широкие на высокий рост","692752.380952380952"
"2025-04-13","Джинсы широкие палаццо клеш","590654.166666666667"
"2025-04-13","Джинсы широкие с высокой посадкой","386012.500000000000"
"2025-04-13","Джинсы широкие багги клеш","312805.555555555556"
"2025-04-13","Футболка оверсайз с принтом","119647.619047619048"
"2025-04-13","Футболка оверсайз","55370.833333333333"
"2025-04-13","Кислородный отбеливатель, пятновыводитель","44416.666666666667"
"2025-04-13","Кислородный отбеливатель, пятновыводитель, очиститель","41366.666666666667"
"2025-04-13","Кислородный отбеливатель пятновыводитель очиститель","36857.142857142857"
"2025-04-13","Кислородный отбеливатель пятновыводитель универсальный","31730.000000000000"
"2025-04-14","Джинсы широкие на высокий рост","670800.000000000000"
"2025-04-14","Джинсы широкие палаццо клеш","580475.000000000000"
"2025-04-14","Джинсы широкие с высокой посадкой","377525.000000000000"
"2025-04-14","Джинсы широкие багги клеш","307400.000000000000"
"2025-04-14","Футболка оверсайз с принтом","126400.000000000000"
"2025-04-14","Футболка оверсайз","54425.000000000000"
"2025-04-14","Кислородный отбеливатель, пятновыводитель","48733.333333333333"
"2025-04-14","Кислородный отбеливатель, пятновыводитель, очиститель","42366.666666666667"
"2025-04-14","Кислородный отбеливатель пятновыводитель очиститель","36033.333333333333"
"2025-04-14","Кислородный отбеливатель пятновыводитель универсальный","24833.333333333333"
