"day","supplier","avg_price","min_price","max_price","records_count"
"2025-04-05","Полякова Елена Андреевна ИП","698119.277108433735",625600,779700,"83"
"2025-04-05","dolo74","611280.412371134021",419500,726100,"97"
"2025-04-05","Emberens","362960.919540229885",287200,554000,"87"
"2025-04-05","MARFAWOMEN","330700.000000000000",326400,335000,"87"
"2025-04-05","NAOX","172772.941176470588",155800,183300,"85"
"2025-04-05","PrintLab","109274.117647058824",78700,128800,"85"
"2025-04-05","Апрель","68340.196078431373",55300,78800,"102"
"2025-04-05","GORAZDO","48423.148148148148",28300,92900,"216"
"2025-04-05","BRANDFREE","45806.875000000000",22600,73600,"160"
"2025-04-05","LABIM","36673.684210526316",9000,77300,"114"
"2025-04-11","Полякова Елена Андреевна ИП","679917.857142857143",625600,779700,"84"
"2025-04-11","dolo74","627003.539823008850",419500,726100,"113"
"2025-04-11","Emberens","362439.024390243902",287200,554000,"82"
"2025-04-11","MARFAWOMEN","331637.179487179487",326400,335000,"78"
"2025-04-11","NAOX","172637.037037037037",155800,183300,"81"
"2025-04-11","PrintLab","106666.371681415929",78700,126500,"113"
"2025-04-11","Апрель","67713.402061855670",51500,78800,"97"
"2025-04-11","GORAZDO","51650.597609561753",27100,97300,"251"
"2025-04-11","BRANDFREE","45600.568181818182",19900,73600,"176"
"2025-04-11","LABIM","41334.000000000000",25300,77300,"100"
"2025-04-13","Полякова Елена Андреевна ИП","692752.380952380952",625600,779700,"21"
"2025-04-13","dolo74","637530.303030303030",419500,726100,"33"
"2025-04-13","Emberens","382527.777777777778",287200,554000,"18"
"2025-04-13","MARFAWOMEN","332284.210526315789",326400,335000,"19"
"2025-04-13","NAOX","172661.904761904762",155800,180900,"21"
"2025-04-13","PrintLab","106513.333333333333",78700,126500,"30"
"2025-04-13","Апрель","66495.833333333333",50900,77200,"24"
"2025-04-13","GORAZDO","51432.142857142857",27700,97300,"84"
"2025-04-13","BRANDFREE","44640.000000000000",19900,56900,"45"
"2025-04-13","LABIM","28540.000000000000",25300,33900,"15"
"2025-04-14","Полякова Елена Андреевна ИП","670800.000000000000",625600,724700,"3"
"2025-04-14","dolo74","596950.000000000000",419500,660800,"4"
"2025-04-14","Emberens","373500.000000000000",287200,532500,"3"
"2025-04-14","MARFAWOMEN","326400.000000000000",326400,326400,"4"
"2025-04-14","NAOX","171000.000000000000",155800,178600,"4"
"2025-04-14","PrintLab","99075.000000000000",78700,106800,"4"
"2025-04-14","Апрель","68966.666666666667",55300,76400,"3"
"2025-04-14","GORAZDO","49716.666666666667",27100,88200,"12"
"2025-04-14","BRANDFREE","46812.500000000000",19900,71600,"8"
"2025-04-14","LABIM","39660.000000000000",25300,57400,"5"
